PIN,SalePrice,SqFtTotLiving,NbrLivingUnits,YrBuilt,CurrentZoning,beat,total_noise_dispatches,estimated_dispatch_waste_usd,shadow_tax_penalty_usd,FEMA_Climate_Risk,Heavy_Freight_Zone
1909600027,811000,1790,1,2012,NR3,W3,109,16350,-1684.0756850335274,69.22,0
6141600245,780000,2580,1,1963,NR2,N2,246,36900,-3800.757968057319,69.22,0
2767603090,772500,1280,1,1900,LR1(M),B1,211,31650,-3259.999720569489,69.22,0
2466400030,585000,1280,1,1966,NR3,S3,189,28350,-2920.094536434281,69.22,0
1225039011,785000,1210,1,2023,LR2(M1),B2,126,18900,-1946.729690956188,69.22,0
9530101005,635000,780,1,1921,NR3,B2,126,18900,-1946.729690956188,69.22,0
2660500424,650000,1310,1,2007,LR2(M),R3,178,26700,-2750.1419443666778,69.22,0
2767603633,659950,1040,1,2022,LR2(M),B1,211,31650,-3259.999720569489,69.22,0
4006000562,810000,1810,1,1909,NR3,S1,221,33150,-3414.502076994583,69.22,0
3918400156,740000,1480,1,2005,LR3(M),N1,157,23550,-2425.68699587398,69.22,0
4258300030,585000,1540,1,1950,NR2,N1,157,23550,-2425.68699587398,69.22,0
7818700295,820000,1100,1,1916,RSL(M),J1,141,21150,-2178.483225593829,69.22,1
2464400655,810000,1710,1,1949,NR3,L2,118,17700,-1823.1278058161124,69.22,1
3019300131,655000,1220,1,1952,LR2(M),B2,126,18900,-1946.729690956188,69.22,0
8819900450,835000,1090,1,1950,NR3,U3,190,28500,-2935.544772076791,69.22,0
8122100825,725000,1700,1,1927,NR3,W3,109,16350,-1684.0756850335274,69.22,0
2483200170,735000,1990,1,1956,NR3,W3,109,16350,-1684.0756850335274,69.22,0
6149700365,635000,770,1,1942,NR3,N2,246,36900,-3800.757968057319,69.22,0
2877100896,775000,1380,1,1909,NR3,J2,90,13500,-1390.5212078258485,69.22,0
9524100338,500000,1020,1,1998,LR3(M),N3,225,33750,-3476.303019564621,69.22,1
8067000098,840000,2730,1,2007,NR3,S3,189,28350,-2920.094536434281,69.22,0
4303200485,610000,1130,1,1923,NR3,F2,153,22950,-2363.8860533039424,69.22,0
8141200047,800000,2160,1,1909,RSL(M),C2,100,15000,-1545.0235642509426,69.22,0
1604601826,840000,1730,1,2023,LR2(M),R2,298,44700,-4604.170221467809,69.22,0
7972604530,600000,1700,1,1981,NR2,F3,259,38850,-4001.6110314099415,69.22,1
8636820230,699990,1620,1,2021,LR3(M),N1,157,23550,-2425.68699587398,69.22,0
6908200323,775000,1080,1,1920,NR3,B1,211,31650,-3259.999720569489,69.22,0
2770600232,695000,1310,1,1995,LR1(M),Q1,107,16050,-1653.175213748509,69.22,0
7549801895,648000,1610,1,2005,LR1(M),O3,51,7650,-787.9620177679808,69.22,1
